
단위:,"2020=100, %",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
소비자물가 총지수(2020=100),4.7,5.3,5.9,6.1,7.6,9.5,10.9,12.0,13.8,16.3,21.0,25.4,27.3,28.2,28.8,29.6,30.4,31.3,33.5,35.4,38.5,42.1,44.7,46.8,49.8,52.0,54.6,57.0,61.3,61.8,63.2,65.7,67.5,69.9,72.4,74.4,76.1,78.0,81.7,83.9,86.4,89.9,91.8,93.0,94.2,94.9,95.8,97.6,99.1,99.5,100.0,102.5,107.7,111.6
소비자물가상승률(%),16.0,13.5,11.7,3.2,24.3,25.2,15.3,10.1,14.5,18.3,28.7,21.4,7.2,3.4,2.3,2.5,2.8,3.0,7.1,5.7,8.6,9.3,6.2,4.8,6.3,4.5,4.9,4.4,7.5,0.8,2.3,4.1,2.8,3.5,3.6,2.8,2.2,2.5,4.7,2.8,2.9,4.0,2.2,1.3,1.3,0.7,1.0,1.9,1.5,0.4,0.5,2.5,5.1,3.6
식료품 · 비주류음료,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.2,3.1,10.6,6.2,9.9,11.0,5.3,3.0,10.2,3.0,3.0,4.0,10.1,4.5,0.8,5.1,4.8,4.6,8.1,3.1,0.5,2.5,4.9,7.6,6.4,8.1,4.0,0.9,0.3,1.6,2.3,3.4,2.8,0.0,4.4,5.9,5.9,5.5
주류 및 담배,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.6,1.4,2.0,5.0,5.3,3.5,5.1,5.9,9.9,2.2,9.1,6.5,6.4,6.5,0.8,5.0,7.4,2.8,1.1,14.9,-0.2,0.4,0.5,1.1,0.4,0.8,1.5,1.7,-0.1,50.1,0.7,1.5,0.3,0.6,0.3,0.4,2.2,1.0
의류 및 신발,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.3,3.5,8.0,13.1,9.8,5.6,6.2,3.3,2.4,1.7,1.2,1.7,4.0,1.7,1.5,3.0,3.1,3.5,0.3,1.0,2.7,2.7,2.6,5.1,2.9,3.3,4.8,2.9,4.0,1.3,1.8,1.1,1.1,0.1,0.7,0.6,3.1,6.7
주택 ·수도 · 전기 및 연료,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.6,2.4,3.6,4.2,7.7,11.2,7.1,5.4,4.1,4.2,4.8,5.1,7.3,-3.0,3.7,5.9,2.7,4.2,3.3,1.9,2.9,2.2,4.3,1.1,2.4,4.5,4.6,3.5,2.9,-0.6,-0.8,1.7,0.7,1.2,0.5,1.6,5.5,5.0
가정용품 및 가사 서비스,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.4,3.3,5.9,6.8,6.1,5.5,3.3,3.2,3.5,1.9,1.9,0.4,5.8,-1.3,-2.5,1.9,1.0,2.0,0.7,0.6,0.2,2.6,4.4,4.4,0.4,3.7,2.9,0.3,2.1,2.6,1.6,1.1,2.3,2.1,0.0,1.9,4.8,5.4
보건,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.8,3.4,7.0,3.0,7.4,6.4,3.2,2.8,3.6,5.5,4.6,4.1,5.3,1.5,7.3,11.4,-0.5,2.2,1.4,2.2,2.0,1.7,1.9,2.2,1.7,1.8,0.9,0.4,0.7,1.3,1.0,0.9,-0.1,0.5,1.5,-0.1,0.8,1.6
교통,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.6,1.8,5.2,3.2,2.6,11.0,9.4,8.5,7.6,6.2,7.5,9.6,16.8,2.3,4.4,3.9,1.0,4.0,3.5,5.0,4.6,3.6,8.8,-3.5,4.9,7.0,3.2,-0.5,-1.6,-7.8,-2.2,3.6,2.4,-1.8,-1.8,6.3,9.7,-3.4
통신,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.9,1.7,0.0,-10.8,6.6,-3.5,-0.2,-0.6,-2.5,-2.3,-0.4,-2.9,-0.2,-0.5,-2.3,-3.2,-4.5,-5.2,-1.6,-1.8,-1.3,-2.0,-1.4,-0.2,-0.9,-1.6,-2.6,-0.1,-0.1,-0.2,0.1,0.3,-0.9,-2.3,-2.1,-0.9,0.9,1.0
